3570|45865|39
3570|37965|-1
3570|68799|69
3570|97346|46
3570|37158|81
3570|49201|53
3570|77455|60
3570|87615|-1
3570|93806|64
3570|42295|-1
3571|45865|74
3571|37965|94
3571|68799|-1
3571|97346|77
3571|37158|86
3571|49201|86
3571|77455|44
3571|87615|71
3571|93806|76
3571|42295|51
3572|45865|74
3572|37965|56
3572|68799|38
3572|97346|88
3572|37158|-1
3572|49201|95
3572|77455|94
3572|87615|44
3572|93806|-1
3572|42295|68
3573|45865|62
3573|37965|44
3573|68799|79
3573|97346|86
3573|37158|46
3573|49201|60
3573|77455|-1
3573|87615|38
3573|93806|54
3573|42295|80
3574|45865|87
3574|37965|92
3574|68799|56
3574|97346|-1
3574|37158|52
3574|49201|98
3574|77455|85
3574|87615|54
3574|93806|98
3574|42295|94
3575|45865|50
3575|37965|51
3575|68799|-1
3575|97346|-1
3575|37158|-1
3575|49201|100
3575|77455|87
3575|87615|-1
3575|93806|88
3575|42295|67
3576|45865|88
3576|37965|62
3576|68799|-1
3576|97346|89
3576|37158|98
3576|49201|-1
3576|77455|96
3576|87615|80
3576|93806|93
3576|42295|39
